Heure,Protocole,Source,Destination,Drapeaux TCP,Numéro de séquence,Numéro d'accusé de réception,Taille de la fenêtre de réception,Longueur
11:42:06.682652,11,gba.solunet.com.ar.2547,107.43.74.http,P.,527715727,36,512,120
11:42:06.682668,11,gba.solunet.com.ar.2548,107.43.74.http,P.,1897998019,36,512,120
11:42:06.682684,11,gba.solunet.com.ar.2549,107.43.74.http,P.,1187006652,36,512,120
11:42:06.682700,11,gba.solunet.com.ar.2550,107.43.74.http,P.,836414851,36,512,120
11:42:06.682717,11,gba.solunet.com.ar.2551,107.43.74.http,P.,97200857,36,512,120
11:42:06.682733,11,gba.solunet.com.ar.2552,107.43.74.http,P.,964382000,36,512,120
11:42:06.682749,11,gba.solunet.com.ar.2553,107.43.74.http,P.,64311516,36,512,120
11:42:06.682765,11,gba.solunet.com.ar.2554,107.43.74.http,P.,1940462409,36,512,120
11:42:06.682782,11,gba.solunet.com.ar.2555,107.43.74.http,P.,709004881,36,512,120
11:42:06.682798,11,gba.solunet.com.ar.2556,107.43.74.http,P.,1783812004,36,512,120
11:42:06.682814,11,gba.solunet.com.ar.2557,107.43.74.http,P.,2027959598,36,512,120
11:42:06.682832,11,gba.solunet.com.ar.2558,107.43.74.http,P.,763370841,36,512,120
11:42:06.682848,11,gba.solunet.com.ar.2559,107.43.74.http,P.,629902483,36,512,120
11:42:06.682865,11,gba.solunet.com.ar.2560,107.43.74.http,P.,1167925997,36,512,120
11:42:06.682881,11,gba.solunet.com.ar.2561,107.43.74.http,P.,1590590930,36,512,120
11:42:06.682898,11,gba.solunet.com.ar.2562,107.43.74.http,P.,1025391341,36,512,120
11:42:06.682915,11,gba.solunet.com.ar.2563,107.43.74.http,P.,22267219,36,512,120
11:42:06.682931,11,gba.solunet.com.ar.2564,107.43.74.http,P.,1838110461,36,512,120
11:42:06.682947,11,gba.solunet.com.ar.2565,107.43.74.http,P.,1314325144,36,512,120
11:42:06.682964,11,gba.solunet.com.ar.2566,107.43.74.http,P.,1221538397,36,512,120
11:42:06.682980,11,gba.solunet.com.ar.2567,107.43.74.http,P.,121272366,36,512,120
11:42:06.682997,11,gba.solunet.com.ar.2568,107.43.74.http,P.,1689815904,36,512,120
11:42:06.683013,11,gba.solunet.com.ar.2569,107.43.74.http,P.,424777574,36,512,120
11:42:06.683038,11,gba.solunet.com.ar.2570,107.43.74.http,P.,1811461816,36,512,120
11:42:06.683058,11,gba.solunet.com.ar.2571,107.43.74.http,P.,891455149,36,512,120
11:42:06.683077,11,gba.solunet.com.ar.2572,107.43.74.http,P.,378465819,36,512,120
11:42:06.683096,11,gba.solunet.com.ar.2573,107.43.74.http,P.,1060801994,36,512,120
11:42:06.683115,11,gba.solunet.com.ar.2574,107.43.74.http,P.,887047860,36,512,120
11:42:06.683131,11,gba.solunet.com.ar.2575,107.43.74.http,P.,1083782921,36,512,120
11:42:06.683148,11,gba.solunet.com.ar.2576,107.43.74.http,P.,1055260995,36,512,120
11:42:06.683164,11,gba.solunet.com.ar.2577,107.43.74.http,P.,1170111755,36,512,120
11:42:06.683181,11,gba.solunet.com.ar.2578,107.43.74.http,P.,1956050927,36,512,120
11:42:06.683197,11,gba.solunet.com.ar.2579,107.43.74.http,P.,1016109235,36,512,120
11:42:06.683214,11,gba.solunet.com.ar.2580,107.43.74.http,P.,1684776979,36,512,120
11:42:06.683230,11,gba.solunet.com.ar.2581,107.43.74.http,P.,503501716,36,512,120
11:42:06.683246,11,gba.solunet.com.ar.2582,107.43.74.http,P.,1864451598,36,512,120
11:42:06.683262,11,gba.solunet.com.ar.mon,107.43.74.http,P.,289557681,36,512,120
11:42:06.683279,11,gba.solunet.com.ar.2584,107.43.74.http,P.,138098778,36,512,120
11:42:06.683295,11,gba.solunet.com.ar.2585,107.43.74.http,P.,1203053650,36,512,120
